tier,source,comp_type,address,city,state,zip,subdivision,prop_type,prop_subtype,lot_sf,finished_sf,year_built,beds,baths,price,price_per_lot_sf,date,status,query_status,mls_id,source_url,notes,tier_rationale
D,IDX-juanjoseelizondo,pure_land,224 E University Drive,Edinburg,TX,78539,Edinburg Original Townsite,Commercial Sale,Commercial,3550,3356,1938,,0,370000,104.23,5/29/2025,Closed,sold,386090,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/386090/224-E-University-Drive-Edinburg-TX?widgetReferer=true,,Small lot but commercial-feeling — context
D,IDX-juanjoseelizondo,pure_land,201 E University Drive,Edinburg,TX,78539,Edinburg Original Townsite,Commercial Sale,Commercial,4500,4422,1977,,0,500000,111.11,1/27/2025,Closed,sold,455553,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/455553/201-E-University-Drive-Edinburg-TX?widgetReferer=true,,Small lot but commercial-feeling — context
D,IDX-juanjoseelizondo,pure_land,510 E University Drive,Edinburg,TX,78539,Edinburg Original Townsite,Commercial Sale,Commercial,3550,2364,1980,,0,160000,45.07,9/19/2023,Closed,sold,400219,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/400219/510-E-University-Drive-Edinburg-TX?widgetReferer=true,,Small lot but commercial-feeling — context
C,IDX-juanjoseelizondo,pure_land,506 Closner Boulevard,Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,3919,2000,2002,,0,299000,76.29,2025-09-04,Active,active,480127,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480127/506-Closner-Boulevard-Edinburg-TX?widgetReferer=true,,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,pure_land,524 S Closner Boulevard,Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,3919,2000,2002,,0,279000,71.19,2025-09-04,Active,active,480124,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480124/524-S-Closner-Boulevard-Edinburg-TX?widgetReferer=true,,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,pure_land,526 S Closner Boulevard B,Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,3919,2000,2002,,0,279000,71.19,2025-09-04,Active,active,480068,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480068/526-S-Closner-Boulevard-B-Edinburg-TX?widgetReferer=true,,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,pure_land,"506 S Closner Boulevard 506, 524, 526B",Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,3919,6000,2002,,0,825000,210.51,2025-09-04,Active,active,480039,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480039/506-S-Closner-Boulevard-506-524-526B-Edinburg-TX?widgetReferer=true,,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,pure_land,2505 Cornerstone Boulevard,Edinburg,TX,78539,Cornerstone Medical Park,Commercial Sale,Commercial,3599,2337,1997,,0,365000,101.42,2025-07-18,Active,active,476174,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/476174/2505-Cornerstone-Boulevard-Edinburg-TX?widgetReferer=true,,Active/pending listing — market floor signal
C,IDX-juanjoseelizondo,pure_land,2401 Cornerstone Boulevard,Edinburg,TX,78539,Cornerstone Medical Park,Commercial Sale,Commercial,4799,4800,2007,,0,899000,187.33,2025-04-30,Pending,active,470103,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/470103/2401-Cornerstone-Boulevard-Edinburg-TX?widgetReferer=true,,Active/pending listing — market floor signal
D,IDX-juanjoseelizondo,pure_land,2508 Buddy Owens Avenue,McAllen,TX,78504,Hacienda Plaza Condominiums,Commercial Sale,Commercial,2451,1300,2005,,0,220000,89.76,3/21/2025,Closed,sold,445668,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/445668/2508-Buddy-Owens-Avenue-McAllen-TX?widgetReferer=true,,Pure land sale but commercial-flagged subdivision — context only
