lot_count,hard_cost_scenario,per_lot_dev,total_dev,all_in,gross_profit,margin_pct,per_lot_all_in
24,low_-20%,35520,852480,1283855,-56255,-4.6,53494
24,mid,44400,1065600,1496975,-269375,-21.9,62374
24,high_+20%,53280,1278720,1710095,-482495,-39.3,71254
27,low_-20%,32960,889920,1321295,59755,4.3,48937
27,mid,41200,1112400,1543775,-162725,-11.8,57177
27,high_+20%,49440,1334880,1766255,-385205,-27.9,65417
28,low_-20%,32240,902720,1334095,98105,6.8,47646
28,mid,40300,1128400,1559775,-127575,-8.9,55706
28,high_+20%,48360,1354080,1785455,-353255,-24.7,63766
32,low_-20%,29760,952320,1383695,253105,15.5,43240
32,mid,37200,1190400,1621775,15025,0.9,50680
32,high_+20%,44640,1428480,1859855,-223055,-13.6,58120
