kind,address,city,state,zip,subdivision,prop_type,prop_subtype,year_built,acres,lot_sf,finished_sf,beds,baths,list_price,sold_price,sold_date,list_date,date_added,status,query_status,listing_id,source_url,source,effective_price,effective_date,price_per_lot_sf
land,513 S 10th Avenue,Edinburg,TX,78539,Edinburg Original Townsite,Commercial Sale,Commercial,1986,0.115,5001,1232,,0,235000,,1/02/2026,,2025-11-07T13:41:05+00:00,Closed,sold,486386,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/486386/513-S-10th-Avenue-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,235000,1/02/2026,46.99
land,224 E University Drive,Edinburg,TX,78539,Edinburg Original Townsite,Commercial Sale,Commercial,1938,0.082,3550,3356,,0,370000,,5/29/2025,,2023-03-31T23:10:52+00:00,Closed,sold,386090,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/386090/224-E-University-Drive-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,370000,5/29/2025,104.23
land,201 E University Drive,Edinburg,TX,78539,Edinburg Original Townsite,Commercial Sale,Commercial,1977,0.103,4500,4422,,0,500000,,1/27/2025,,2024-11-28T01:17:55+00:00,Closed,sold,455553,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/455553/201-E-University-Drive-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,500000,1/27/2025,111.11
land,510 E University Drive,Edinburg,TX,78539,Edinburg Original Townsite,Commercial Sale,Commercial,1980,0.082,3550,2364,,0,160000,,9/19/2023,,2023-03-20T00:00:00+00:00,Closed,sold,400219,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/400219/510-E-University-Drive-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,160000,9/19/2023,45.07
land,506 Closner Boulevard,Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,2002,0.09,3919,2000,,0,299000,,,,2025-09-04T22:38:51+00:00,Active,active,480127,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480127/506-Closner-Boulevard-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,299000,2025-09-04,76.29
land,524 S Closner Boulevard,Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,2002,0.09,3919,2000,,0,279000,,,,2025-09-04T21:40:11+00:00,Active,active,480124,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480124/524-S-Closner-Boulevard-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,279000,2025-09-04,71.19
land,526 S Closner Boulevard B,Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,2002,0.09,3919,2000,,0,279000,,,,2025-09-04T16:37:14+00:00,Active,active,480068,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480068/526-S-Closner-Boulevard-B-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,279000,2025-09-04,71.19
land,"506 S Closner Boulevard 506, 524, 526B",Edinburg,TX,78539,Alhambra Plaza Condos,Commercial Sale,Commercial,2002,0.09,3919,6000,,0,825000,,,,2025-09-04T13:37:33+00:00,Active,active,480039,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480039/506-S-Closner-Boulevard-506-524-526B-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,825000,2025-09-04,210.51
land,2505 Cornerstone Boulevard,Edinburg,TX,78539,Cornerstone Medical Park,Commercial Sale,Commercial,1997,0.083,3599,2337,,0,365000,,,,2025-07-18T15:34:43+00:00,Active,active,476174,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/476174/2505-Cornerstone-Boulevard-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,365000,2025-07-18,101.42
land,2401 Cornerstone Boulevard,Edinburg,TX,78539,Cornerstone Medical Park,Commercial Sale,Commercial,2007,0.11,4799,4800,,0,899000,,,,2025-04-30T17:19:15+00:00,Pending,active,470103,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/470103/2401-Cornerstone-Boulevard-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,899000,2025-04-30,187.33
