kind,address,city,state,zip,subdivision,prop_type,prop_subtype,year_built,acres,lot_sf,finished_sf,beds,baths,list_price,sold_price,sold_date,list_date,date_added,status,query_status,listing_id,source_url,source,effective_price,effective_date,price_per_lot_sf
townhouse,2832 Allen Drive,Edinburg,TX,78539,Rincon De Las Fuentes,Residential,Townhouse,2020,0.044,1900,1430,3,2,248888,,4/17/2026,,2026-01-13T21:22:58+00:00,Closed,sold,492054,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/492054/2832-Allen-Drive-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,248888,4/17/2026,130.99
townhouse,1410 S 7th Avenue,Edinburg,TX,78539,Shibui Village,Residential,Townhouse,2025,0.068,2939,2205,3,4,350000,,4/02/2026,,2025-12-17T22:58:35+00:00,Closed,sold,490314,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/490314/1410-S-7th-Avenue-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,350000,4/02/2026,119.09
townhouse,3217 W Sprague Street 25,Edinburg,TX,78539,Brownwood Ph 2,Residential,Townhouse,2014,0.05,2157,1030,2,2,148000,,3/06/2026,,2026-01-12T23:17:05+00:00,Closed,sold,491949,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/491949/3217-W-Sprague-Street-25-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,148000,3/06/2026,68.61
townhouse,519 S 4th Avenue A1,Edinburg,TX,78539,Edinburg Manor Condo,Residential,Condominium,1983,0.055,2373,1089,2,1,80000,,8/03/2023,,2023-05-25T00:00:00+00:00,Closed,sold,406297,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/406297/519-S-4th-Avenue-A1-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,80000,8/03/2023,33.71
townhouse,519 S 4th Avenue,Edinburg,TX,78539,Edinburg Manor Condo,Residential,Condominium,1975,0.036,1580,696,1,1,60000,,7/19/2024,,2024-06-20T00:00:00+00:00,Closed,sold,441020,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/441020/519-S-4th-Avenue-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,60000,7/19/2024,37.97
townhouse,3637 N Kenyon Road N,Edinburg,TX,78539,Monte Cristo,Residential,Condominium,1973,0.057,2495,640,1,1,65000,,3/12/2025,,2024-12-27T21:27:01+00:00,Closed,sold,457408,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/457408/3637-N-Kenyon-Road-N-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,65000,3/12/2025,26.05
townhouse,519 S 4th Avenue B2,Edinburg,TX,78539,Edinburg Manor Condo,Residential,Condominium,1983,0.036,1580,696,1,1,73000,,3/05/2024,,2023-05-25T00:00:00+00:00,Closed,sold,406294,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/406294/519-S-4th-Avenue-B2-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,73000,3/05/2024,46.2
townhouse,1114 Tori Lane D,Edinburg,TX,78539,Raynee's Condominiums Ph 1,Residential,Condominium,1977,0.059,2560,1056,2,2,82000,,12/08/2025,,2025-09-14T21:26:50+00:00,Closed,sold,480715,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/480715/1114-Tori-Lane-D-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,82000,12/08/2025,32.03
townhouse,519 S 4th Avenue A1,Edinburg,TX,78539,Edinburg Manor Condo,Residential,Condominium,1983,0.055,2373,1089,2,1,102660,,12/20/2024,,2024-11-29T15:22:31+00:00,Closed,sold,455641,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/455641/519-S-4th-Avenue-A1-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,102660,12/20/2024,43.26
townhouse,519 S 4th Avenue D2,Edinburg,TX,78539,Edinburg Manor Condo,Residential,Condominium,1975,0.06,2600,980,2,2,110000,,1/09/2024,,2023-08-28T00:00:00+00:00,Closed,sold,412857,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/412857/519-S-4th-Avenue-D2-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,110000,1/09/2024,42.31
townhouse,3217 W Sprague Street 6,Edinburg,TX,78539,Brownwood Ph 2,Residential,Townhouse,2013,0.055,2387,1030,2,2,140000,,12/05/2023,,2023-10-29T00:00:00+00:00,Closed,sold,417649,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/417649/3217-W-Sprague-Street-6-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,140000,12/05/2023,58.65
townhouse,718 Wellington Avenue,Edinburg,TX,78539,Brownwood Ph 2,Residential,Townhouse,2009,0.059,2556,1146,2,2,143000,,6/10/2024,,2024-02-16T00:00:00+00:00,Closed,sold,427550,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/427550/718-Wellington-Avenue-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,143000,6/10/2024,55.95
townhouse,3217 W Sprague Street 5,Edinburg,TX,78539,Brownwood Ph 2,Residential,Townhouse,2013,0.055,2387,1030,2,2,145000,,10/01/2024,,2024-03-29T16:01:35+00:00,Closed,sold,432585,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/432585/3217-W-Sprague-Street-5-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,145000,10/01/2024,60.75
townhouse,1420 S 7th Avenue,Edinburg,TX,78539,Shibui Village,Residential,Townhouse,2026,0.068,2940,2600,4,4,429000,,,,2026-04-25T22:04:26+00:00,Active,active,502769,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/502769/1420-S-7th-Avenue-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,429000,2026-04-25,145.92
townhouse,818 Hill Country Road,Edinburg,TX,78539,Hill Country Villas,Residential,Single Family Residence,1999,0.14,6104,2645,5,5,359000,,,,2026-04-24T23:39:03+00:00,Active,active,502539,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/502539/818-Hill-Country-Road-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,359000,2026-04-24,58.81
townhouse,1406 N 7th Avenue,Edinburg,TX,78539,Shibui Village,Residential,Townhouse,2025,0.068,2939,1654,2,3,325000,,,,2026-04-16T20:19:41+00:00,Active,active,502017,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/502017/1406-N-7th-Avenue-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,325000,2026-04-16,110.58
townhouse,3608 Bridget Street,Edinburg,TX,78539,Las Villas At Autumn Ridge,Residential,Single Family Residence,2005,0.128,5555,1280,3,2,230000,,,,2026-04-01T22:42:40+00:00,Active,active,500421,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/500421/3608-Bridget-Street-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,230000,2026-04-01,41.4
townhouse,2838 Allen Drive,Edinburg,TX,78539,Rincon De Las Fuentes,Residential,Townhouse,2023,0.045,1951,1502,3,2,265000,,,,2025-06-11T06:25:24+00:00,Active,active,473448,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/473448/2838-Allen-Drive-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,265000,2025-06-11,135.83
townhouse,519 S 4th Avenue C2,Edinburg,TX,78539,Edinburg Manor Condo,Residential,Condominium,1975,0.055,2374,1089,2,1,110000,,,,2025-10-08T22:54:22+00:00,Active,active,481475,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/481475/519-S-4th-Avenue-C2-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,110000,2025-10-08,46.34
townhouse,3302 S Sugar Road B,Edinburg,TX,78539,Regency,Residential,Townhouse,2019,0.051,2228,1852,3,4,211000,,,,2025-10-14T22:21:36+00:00,Active,active,483248,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/483248/3302-S-Sugar-Road-B-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,211000,2025-10-14,94.7
townhouse,4109 Carol Lane,Edinburg,TX,78539,Cesar Village,Residential,Single Family Residence,2025,0.121,5248,1375,3,2,269900,,,,2025-10-24T17:13:54+00:00,Active,active,483984,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/483984/4109-Carol-Lane-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,269900,2025-10-24,51.43
townhouse,519 S 4th Avenue,Edinburg,TX,78539,Edinburg Manor Condo,Residential,Condominium,1973,0.055,2374,1089,2,2,85000,,,,2026-03-19T17:08:25+00:00,Active,active,498337,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/498337/519-S-4th-Avenue-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,85000,2026-03-19,35.8
townhouse,3507 Bridget Street,Edinburg,TX,78539,Las Villas At Autumn Ridge,Residential,Single Family Residence,2005,0.133,5797,2167,3,3,229000,,,,2026-01-27T22:32:35+00:00,Active,active,493173,https://juanjoseelizondo.idxbroker.com/idx/details/listing/d337/493173/3507-Bridget-Street-Edinburg-TX?widgetReferer=true,IDX-juanjoseelizondo,229000,2026-01-27,39.5
