tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,139,Joe's Oyster Bar,restaurant,Port Isabel,4.7,3700,False,none,,207 E Maxan St,,3,restaurant in Port Isabel tx
HOT,139,Hopper Haus Bar and Grill,restaurant,Port Isabel,4.7,587,False,none,,418 E Queen Isabella Blvd,,3,best restaurant in Port Isabel texas
HOT,139,Meza Family & Cosmetic Dentistry,cosmetic dentist,McAllen,4.9,352,False,none,,312 Pecan Blvd,,3,best cosmetic dentist in McAllen texas
HOT,139,Ethos Modern Dental - Edinburg & McAllen TX,cosmetic dentist,Edinburg,5.0,394,False,none,,1701 S McColl Rd Suite 9 & 10,,3,cosmetic dentist in Edinburg tx
HOT,139,Palm Valley Dental,cosmetic dentist,Edinburg,4.9,1300,False,none,,4649 S Jackson Rd,,3,best cosmetic dentist in Edinburg texas
HOT,139,Sabal Dental - Harlingen,cosmetic dentist,Harlingen,4.9,915,False,none,,321 S 13th St,,3,top rated cosmetic dentist near Harlingen tx
HOT,139,Southern Dental,cosmetic dentist,Weslaco,4.9,494,False,none,,1210 E 8th St Ste 2,,3,top rated cosmetic dentist near Weslaco tx
HOT,139,Smile Magic of San Juan,cosmetic dentist,San Benito,4.9,918,False,none,,,,3,top rated cosmetic dentist near San Benito tx
HOT,139,Alanis Dental Center,cosmetic dentist,Alamo,4.9,328,False,none,,109 S 6th St,(956) 787-3317,3,cosmetic dentist in Alamo tx
HOT,139,Alamo Ranch Dental,cosmetic dentist,Alamo,4.8,956,False,none,,Closes soon,,3,best cosmetic dentist in Alamo texas
HOT,139,Cosmetic Dentistry of San Antonio,cosmetic dentist,Alamo,5.0,978,False,none,,Closes soon,,3,top rated cosmetic dentist near Alamo tx
HOT,139,De La Garza Family Dental,cosmetic dentist,Mercedes,4.9,448,False,none,,Closes soon,,3,best cosmetic dentist in Mercedes texas
HOT,139,Smile Muse Spa,cosmetic dentist,Los Fresnos,4.9,291,False,none,,,,3,top rated cosmetic dentist near Los Fresnos tx
HOT,139,Schmidgall Dental Aesthetics,cosmetic dentist,Hidalgo,5.0,1000,False,none,,Closes soon,,3,top rated cosmetic dentist near Hidalgo tx
HOT,139,Valley Vet Services,veterinarian,Weslaco,4.5,483,False,none,,Closed,(956) 565-1027,3,veterinarian in Weslaco tx
HOT,139,Bertha's Beauty Salon,hair salon,Alamo,4.6,255,False,none,,Closed,(956) 702-1105,3,hair salon in Alamo tx
HOT,139,Ace's Income Tax,accountant,Brownsville,5.0,211,False,none,,5+ years in business,(956) 435-9561,3,best accountant in Brownsville texas
HOT,139,Uncle Chops Food Court,catering,Weslaco,4.8,437,False,none,,,(956) 252-9885,3,best catering in Weslaco texas
HOT,139,Los Tortugo's Seafood Market,catering,Port Isabel,4.6,1600,False,none,,318 E Queen Isabella Blvd,,3,catering in Port Isabel tx
HOT,139,Iman Dental Center,dentist,Mission,4.8,451,False,none,,801 N Conway Ave,,3,best dentist in Mission texas
HOT,139,Agua Dental,dentist,Brownsville,4.9,2400,False,none,,1873 Boca Chica Blvd,,3,top rated dentist near Brownsville tx
HOT,139,Jordan Dental,dentist,Weslaco,4.9,755,False,none,,415 S Airport Dr STE C,(956) 375-2248,3,top rated dentist near Weslaco tx
HOT,139,J&J AUTO SHOP,auto repair shop,Edinburg,4.8,382,False,none,,5+ years in business,(956) 348-5200,3,auto repair shop in Edinburg tx
HOT,135,Sabinos Auto Service,auto body shop,Mercedes,,956,False,none,,1020 N Baseline Rd,(956) 200-6270,2,auto body shop in Mercedes tx
HOT,135,Weslaco Animal Clinic,veterinarian,Weslaco,3.6,261,False,none,,Closed,(956) 968-2020,2,veterinarian in Weslaco tx
HOT,135,"Suzette Floyd, CPA",accountant,South Padre Island,,956,False,none,,10+ years in business,(956) 761-4380,2,accountant in South Padre Island tx
HOT,135,South Padre Island Roofing,roofing contractor,South Padre Island,,956,False,none,,,(956) 274-0873,2,best roofing contractor in South Padre Island texas
HOT,134,Brident Dental & Orthodontics,orthodontist,Harlingen,4.3,421,False,none,,1208 S Expressway 83,,3,orthodontist in Harlingen tx
HOT,134,RU RESTAURANT,restaurant,McAllen,4.3,496,False,none,,5800 N 10th St SUITE 340,,3,restaurant in McAllen tx
HOT,134,Cafe On The Beach,restaurant,South Padre Island,4.4,2600,False,none,,3616 Gulf Blvd,,3,restaurant in South Padre Island tx
HOT,134,Velma's Hair Of Illusions,hair salon,San Benito,4.3,395,False,none,,,(956) 399-0695,3,hair salon in San Benito tx
HOT,134,Lola's Bistro,catering,Brownsville,4.4,648,False,none,,1335 Palm Blvd,,3,catering in Brownsville tx
HOT,129,Southern Style Motor Company,auto body shop,Mercedes,,956,False,none,,825 W 2nd St,(956) 294-1002,3,auto body shop in Mercedes tx
HOT,129,Alanis Marko E DDS,dentist,Alamo,,956,False,none,,109 S 6th St,(956) 787-3317,3,best dentist in Alamo texas
HOT,125,Shoreline Barbell Club,gym,Port Isabel,5.0,126,False,none,,5+ years in business,(956) 778-0360,1,gym in Port Isabel tx
HOT,125,Life Smiles - Dr.A,orthodontist,Brownsville,5.0,164,False,none,,4237 Frontage Rd 77 #1,,1,top rated orthodontist near Brownsville tx
HOT,125,Bella Vista Eye Care,optometrist,Pharr,4.7,173,False,none,,1001 E Ferguson Ave,(956) 782-9444,1,optometrist in Pharr tx
HOT,125,Beautiful Smiles,cosmetic dentist,Mission,4.9,175,False,none,,900 Plaza Dr STE 3,,1,cosmetic dentist in Mission tx
HOT,125,Cosmetic Dental Associates - Alamo Ranch,cosmetic dentist,Alamo,5.0,169,False,none,,Closes soon,,1,best cosmetic dentist in Alamo texas
