tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,150,YJ Home Repair / Drywall Repair/Handyman/plumbing/Electrician/painting/Bathroom Remodel,home remodeler,Edinburg,4.8,225,False,none,,15+ years in business,(956) 884-2695,1,home remodeler in Edinburg tx
HOT,150,Cindy Nail,nail salon,Harlingen,4.8,542,False,none,,,(956) 357-9046,1,nail salon in Harlingen tx
HOT,150,Rodeo Dental & Orthodontics of Edinburg,orthodontist,Edinburg,4.9,2500,False,none,,1560 E Canton Rd suite g,,1,best orthodontist in Edinburg texas
HOT,150,Rodeo Dental & Orthodontics of Mission,orthodontist,Mission,4.9,3900,False,none,,117 E Griffin Pkwy,,1,orthodontist in Mission tx
HOT,150,Rodeo Dental & Orthodontics of Harlingen,orthodontist,Harlingen,4.9,2200,False,none,,601 N 77 Sunshine Strip #4,,1,orthodontist in Harlingen tx
HOT,150,Dr. Scott and Associates - Optometrists in McAllen,optometrist,McAllen,4.8,506,False,none,,2200 S 10th St Suite B06,(956) 682-4459,1,optometrist in McAllen tx
HOT,150,Barajas Vision Clinic,optometrist,Mission,4.8,444,False,none,,1300 S Bryan Rd #105,(956) 581-6151,1,optometrist in Mission tx
HOT,150,Brownsville Eye Center,optometrist,Brownsville,4.8,559,False,none,,3107 Boca Chica Blvd Suite D,(956) 214-5019,1,best optometrist in Brownsville texas
HOT,150,Healing Escape Holistic,massage therapist,Pharr,4.8,224,False,none,,7+ years in business,(956) 200-0860,1,massage therapist in Pharr tx
HOT,150,El Botanero by 100% AM,restaurant,McAllen,4.7,748,False,none,,101 E Expressway 83 Suite 100,,1,restaurant in McAllen tx
HOT,150,The Loretto at Mission,restaurant,Mission,4.5,1200,False,none,,1233 E Griffin Pkwy,,1,restaurant in Mission tx
HOT,150,Dos Olivos Market Harlingen,restaurant,Harlingen,4.7,466,False,none,,6710 W Expy 83 Suite A-107,,1,restaurant in Harlingen tx
HOT,150,La Clandestina Brasa Argentina,restaurant,Brownsville,4.7,529,False,none,,2370 Frontage Rd,,1,top rated restaurant near Brownsville tx
HOT,150,Pappadeaux Seafood Kitchen,restaurant,Pharr,4.6,4400,False,none,,1610 W Expy 83,,1,restaurant in Pharr tx
HOT,150,Longhorn Cattle Company,restaurant,San Benito,4.5,2100,False,none,,3055 W Expy 83,,1,restaurant in San Benito tx
HOT,150,Ain’t She Grand BBQ Co.,restaurant,Donna,4.9,267,False,none,,3011 E Business Hwy 83 BLDG 2,,1,restaurant in Donna tx
HOT,150,The Landmark on Tower,restaurant,Alamo,4.6,308,False,none,,103 N Tower Rd,,1,best restaurant in Alamo texas
HOT,150,Domingo Restaurant,restaurant,Alamo,4.7,9300,False,none,,,,1,top rated restaurant near Alamo tx
HOT,150,Casa De Adobe,restaurant,Rio Grande City,4.5,563,False,none,,101 N Avasolo St,,1,restaurant in Rio Grande City tx
HOT,150,Henrietta's Bayfront Restaurant,restaurant,South Padre Island,4.8,680,False,none,,1707 Laguna Blvd,,1,best restaurant in South Padre Island texas
HOT,150,J. Castillo Cosmetic & Family Dentistry,cosmetic dentist,McAllen,4.9,910,False,none,,2215 W Fern Ln,,1,best cosmetic dentist in McAllen texas
HOT,150,The Lakes Family Dental,cosmetic dentist,Edinburg,4.8,1700,False,none,,3103 Center Pointe Dr,,1,cosmetic dentist in Edinburg tx
