tier,score,name,category,city,rating,reviews,has_website,website_type,website_url,address,phone,rank_pos,search_query
HOT,150,Smile Magic of McAllen,dentist,McAllen,4.8,2300,False,none,,2708 W Nolana Ave Suite 120,,1,affordable dentist in McAllen tx
HOT,150,Agua Dental - Edinburg,dentist,Edinburg,4.9,1300,False,none,,307 E University Dr,,1,dentist in Edinburg tx
HOT,150,Smith Dental,dentist,Mission,4.9,534,False,none,,308 S Bryan Rd,,1,best dentist in Mission texas
HOT,150,Legacy Dental,dentist,Brownsville,4.9,2600,False,none,,2200 Boca Chica Blvd #138,,1,best dentist in Brownsville texas
HOT,150,All Valley Smiles,dentist,Brownsville,4.8,245,False,none,,5850 Ruben M Torres Blvd,,1,affordable dentist in Brownsville tx
HOT,150,Valley Dental,dentist,Brownsville,5.0,261,False,none,,,,1,dentist near me Brownsville tx
HOT,150,Affordable Dentist Near Me of Longview,dentist,Hidalgo,4.9,708,False,none,,,,1,affordable dentist in Hidalgo tx
HOT,150,A Perfect Smile Orthodontics,orthodontist,McAllen,4.9,2100,False,none,,1400 E Expressway 83 #155,,1,best orthodontist in McAllen texas
HOT,150,A Perfect Smile Orthodontics,orthodontist,Edinburg,4.9,2100,False,none,,"6 PM
  Edinburg TX",,1,best orthodontist in Edinburg texas
HOT,150,Red Square Dental & Orthodontics,orthodontist,Edinburg,4.8,850,False,none,,,,1,orthodontist near me Edinburg tx
HOT,150,Rodeo Dental & Orthodontics of Mission,orthodontist,Mission,4.9,3900,False,none,,117 E Griffin Pkwy,,1,best orthodontist in Mission texas
HOT,150,Rodeo Dental & Orthodontics of Mission,orthodontist,Mission,4.9,3900,False,none,,,,1,orthodontist near me Mission tx
HOT,150,Rodeo Dental & Orthodontics of Harlingen,orthodontist,Harlingen,4.9,2200,False,none,,601 N 77 Sunshine Strip #4,,1,orthodontist in Harlingen tx
HOT,150,Rodeo Dental & Orthodontics,orthodontist,Brownsville,4.9,2600,False,none,,2155 Ruben M Torres Blvd Suite 4,,1,best orthodontist in Brownsville texas
HOT,150,Rodeo Dental & Orthodontics of Weslaco,orthodontist,Weslaco,4.9,3000,False,none,,1901 W Expy 83 #800,,1,orthodontist Weslaco tx open now
HOT,150,J. Castillo Cosmetic & Family Dentistry,cosmetic dentist,McAllen,4.9,910,False,none,,2215 W Fern Ln,,1,best cosmetic dentist in McAllen texas
HOT,150,Tijerina Family & Cosmetic Dentistry of McAllen,cosmetic dentist,McAllen,5.0,516,False,none,,Closes soon,,1,cosmetic dentist near me McAllen tx
HOT,150,The Lakes Family Dental,cosmetic dentist,Edinburg,4.8,1700,False,none,,3103 Center Pointe Dr,,1,cosmetic dentist in Edinburg tx
HOT,150,Yi Dentistry,cosmetic dentist,Edinburg,4.9,526,False,none,,206 W Mahl St,,1,affordable cosmetic dentist in Edinburg tx
